trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-51.65603023971822,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,14,10.593839528028132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,0,-24.33725859865133,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,10,-40.112071724703924,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,31.725880175352827,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-62.66329337839479,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,2,-23.093725542385684,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,-26.896046540798256,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,1,-150.8641276377171,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 2}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,15,12.427655319431725,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",35,23,-36.07494137651639,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,0,-38.40753464040924,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,14,-4.366777117640764,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,11,-57.8322440880506,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,-32.33594590622815,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,16,-13.195794539007846,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,0,-9.258251911312543,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,5,9.814912212230386,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,4,7.207124000198238,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,-19.167505182617763,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,16,8.501599933234099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,9,18.40728958930485,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,13,23.565792418492954,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,6,9.320938084553774,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,7,-10.458400916998553,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",20,10,6.981726546532067,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,5,-31.605338213110407,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,0,-30.41939609502441,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,0,22.530078832918463,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,0,22.99019454813908,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,0,31.50647400077116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,12,3.8452375134553782,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,13,33.04837372119627,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,6.417773059453559,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,6,23.711738052598022,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,0,25.26179736658961,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,10,29.858711996233275,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,10,-8.229229474825619,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,0,22.348404621680157,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,3,48.43603161803946,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",25,13,9.238547158533974,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",20,5,4.894823929854232,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,14,23.195917140636084,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",35,23,1.0491174258829195,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,10,17.798071353847895,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,0,33.317162887779396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",20,10,16.335012014675588,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,10,16.32039416360899,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,10,4.705485589182006,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,0,17.56161874685256,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,0,32.30999827179597,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,13,33.82319753453151,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,7,31.172297224965615,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,3,38.38341581009903,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,22.017698075391014,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,8,36.60006849466945,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,21.584607714094428,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,7,30.92316967437876,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,32.175116621318914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,10,24.205774499450204,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,28.505777239427903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
